Date,Site,Surveyor,Transect,Meter,Rugosity cm
8/6/17,Pillars,AC,3,7,137
8/6/17,Pillars,AC,3,8,170
8/6/17,Pillars,AC,3,9,100
8/6/17,Pillars,AC,3,10,118
8/6/17,Pillars,AC,4,1,100
8/6/17,Pillars,AC,4,2,137
8/6/17,Pillars,AC,4,3,126
8/6/17,Pillars,AC,4,4,100
8/6/17,Pillars,AC,4,5,120
8/6/17,Pillars,AC,4,6,110
8/6/17,Pillars,AC,4,7,100
8/6/17,Pillars,AC,4,8,110
8/6/17,Pillars,AC,4,9,125
8/6/17,Pillars,AC,4,10,120
8/6/17,Windward,AC,2,1,100
8/6/17,Windward,AC,2,2,123
8/6/17,Windward,AC,2,3,131
8/6/17,Windward,AC,2,4,162
8/6/17,Windward,AC,2,5,100
8/6/17,Windward,AC,2,6,180
8/6/17,Windward,AC,2,7,130
8/6/17,Windward,AC,2,8,129
8/6/17,Windward,AC,2,9,117
8/6/17,Windward,AC,2,10,113
8/6/17,Windward,AC,3,1,100
8/6/17,Windward,AC,3,2,143
8/6/17,Windward,AC,3,3,122
8/6/17,Windward,AC,3,4,145
8/6/17,Windward,AC,3,5,100
8/6/17,Windward,AC,3,6,171
8/6/17,Windward,AC,3,7,107
8/6/17,Windward,AC,3,8,125
8/6/17,Windward,AC,3,9,130
8/6/17,Windward,AC,3,10,106
8/6/17,Windward,AC,4,1,120
8/6/17,Windward,AC,4,2,112
8/6/17,Windward,AC,4,3,111
8/6/17,Windward,AC,4,4,110
8/6/17,Windward,AC,4,5,118
8/6/17,Windward,AC,4,6,112
8/6/17,Windward,AC,4,7,100
8/6/17,Windward,AC,4,8,122
8/6/17,Windward,AC,4,9,125
8/6/17,Windward,AC,4,10,100
8/6/17,Windward,AC,5,1,120
8/6/17,Windward,AC,5,2,112
8/6/17,Windward,AC,5,3,119
8/6/17,Windward,AC,5,4,125
8/6/17,Windward,AC,5,5,114
8/6/17,Windward,AC,5,6,100
8/6/17,Windward,AC,5,7,114
8/6/17,Windward,AC,5,8,148
8/6/17,Windward,AC,5,9,100
8/6/17,Windward,AC,5,10,103
8/8/17,Mermaid Gardens,AC,1,1,282
8/8/17,Mermaid Gardens,AC,1,2,120
8/8/17,Mermaid Gardens,AC,1,3,240
8/8/17,Mermaid Gardens,AC,1,4,213
8/8/17,Mermaid Gardens,AC,1,5,118
8/8/17,Mermaid Gardens,AC,1,6,125
8/8/17,Mermaid Gardens,AC,1,7,122
8/8/17,Mermaid Gardens,AC,1,8,100
8/8/17,Mermaid Gardens,AC,1,9,114
8/8/17,Mermaid Gardens,AC,1,10,100
8/8/17,Mermaid Gardens,AC,2,1,115
8/8/17,Mermaid Gardens,AC,2,2,107
