Site,cover_LC,cover.se_LC,cover_MA,cover.se_MA,cover_TA,cover.se_TA,cover_CCA,cover.se_CCA,canopy_TA,canopy.se_TA,canopy_MA,canopy.se_MA,rugosity,rugosity.se
18th Palm,44.6,2.73,5.4,0.9,34.3,2.34,7.6,3.42,1.75,0.25,2.75,0.85,1.77,0.1
Front Porch,44.9,3.99,0.88,0.36,32.1,2.43,6.7,1.2,1.63,0.24,5.75,3.25,1.9,0.1
Karpata,59.8,3.5,7.91,2.52,21,2.67,7.6,0.78,1.63,0.24,11.25,3.15,1.97,0.11
Oil Slick,46.7,7.64,9.02,2.41,25.6,4.1,9.8,1.91,1.38,0.24,13.75,3.75,1.68,0.07
